127.0.0.1, 2021-01-20 15:41:37, GET, /admin/default/edit/places/models/1_db.py, HTTP/1.1, 200, 0.085000
127.0.0.1, 2021-01-20 15:41:37, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2021-01-20 15:41:37, GET, /admin/default/edit/places/models/1_db.py, HTTP/1.1, 200, 0.077000
127.0.0.1, 2021-01-20 15:41:37, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.108000
127.0.0.1, 2021-01-20 15:41:37, GET, /places/appadmin/hooks, HTTP/1.1, 500, 0.169000
127.0.0.1, 2021-01-20 15:41:37, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.264000
127.0.0.1, 2021-01-20 15:41:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.365000
127.0.0.1, 2021-01-20 15:41:37, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.402000
127.0.0.1, 2021-01-20 15:42:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.064000
127.0.0.1, 2021-01-20 15:42:41, GET, /places/appadmin/hooks, HTTP/1.1, 404, 3.678000
127.0.0.1, 2021-01-20 15:42:43, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2021-01-20 15:42:44, GET, /welcome/default/index, HTTP/1.1, 200, 0.407000
127.0.0.1, 2021-01-20 15:42:44, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2021-01-20 15:42:46, GET, /admin/default/index, HTTP/1.1, 303, 0.021000
127.0.0.1, 2021-01-20 15:42:46, GET, /admin/default/site, HTTP/1.1, 200, 0.034000
127.0.0.1, 2021-01-20 15:42:46, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2021-01-20 15:42:49, GET, /places/default/index, HTTP/1.1, 200, 2.545000
127.0.0.1, 2021-01-20 15:42:50, GET, /places/static/js/jquery.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2021-01-20 15:42:50, GET, /places/static/css/calendar.css, HTTP/1.1, 200, 0.020000
127.0.0.1, 2021-01-20 15:42:50, GET, /places/static/css/web2py.css, HTTP/1.1, 200, 0.020000
127.0.0.1, 2021-01-20 15:42:50, GET, /places/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.031000
127.0.0.1, 2021-01-20 15:42:50, GET, /places/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.011000
127.0.0.1, 2021-01-20 15:42:50, GET, /places/static/css/style.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2021-01-20 15:42:50, GET, /places/static/js/calendar.js, HTTP/1.1, 200, 0.048000
127.0.0.1, 2021-01-20 15:42:50, GET, /places/static/js/web2py.js, HTTP/1.1, 200, 0.045000
127.0.0.1, 2021-01-20 15:42:50, GET, /places/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2021-01-20 15:42:50, GET, /places/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2021-01-20 15:42:50, GET, /places/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2021-01-20 15:42:50, GET, /places/static/images/flags/af.png, HTTP/1.1, 200, 0.011000
127.0.0.1, 2021-01-20 15:42:50, GET, /places/static/images/flags/ax.png, HTTP/1.1, 200, 0.010000
127.0.0.1, 2021-01-20 15:42:50, GET, /places/static/images/flags/al.png, HTTP/1.1, 200, 0.010000
127.0.0.1, 2021-01-20 15:42:50, GET, /places/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.032000
127.0.0.1, 2021-01-20 15:42:50, GET, /places/static/images/flags/dz.png, HTTP/1.1, 200, 0.008000
127.0.0.1, 2021-01-20 15:42:50, GET, /places/static/images/flags/as.png, HTTP/1.1, 200, 0.013000
127.0.0.1, 2021-01-20 15:42:50, GET, /places/static/images/flags/ad.png, HTTP/1.1, 200, 0.017000
127.0.0.1, 2021-01-20 15:42:50, GET, /places/static/images/flags/ag.png, HTTP/1.1, 200, 0.018000
127.0.0.1, 2021-01-20 15:42:50, GET, /places/static/images/flags/ai.png, HTTP/1.1, 200, 0.017000
127.0.0.1, 2021-01-20 15:42:50, GET, /places/static/images/flags/aq.png, HTTP/1.1, 200, 0.015000
127.0.0.1, 2021-01-20 15:42:50, GET, /places/static/images/flags/ao.png, HTTP/1.1, 200, 0.012000
127.0.0.1, 2021-01-20 15:42:50, GET, /places/static/images/favicon.ico, HTTP/1.1, 404, 0.000000
127.0.0.1, 2021-01-20 15:43:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.069000
127.0.0.1, 2021-01-20 15:43:40, GET, /places/appadmin/hooks, HTTP/1.1, 404, 2.315000
127.0.0.1, 2021-01-20 15:44:37, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.078000
127.0.0.1, 2021-01-20 15:44:38, GET, /places/appadmin/hooks, HTTP/1.1, 404, 0.562000
127.0.0.1, 2021-01-20 15:45:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.075000
127.0.0.1, 2021-01-20 15:45:40, GET, /places/appadmin/hooks, HTTP/1.1, 404, 2.381000
127.0.0.1, 2021-01-20 15:46:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.098000
127.0.0.1, 2021-01-20 15:46:40, GET, /places/appadmin/hooks, HTTP/1.1, 404, 2.368000
127.0.0.1, 2021-01-20 15:47:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.136000
127.0.0.1, 2021-01-20 15:47:40, GET, /places/appadmin/hooks, HTTP/1.1, 404, 2.753000
127.0.0.1, 2021-01-20 15:48:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.096000
